project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_18989,-0.341482269423695,,100,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_19218,0.3051774855420122,,193,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_19477,-0.3932086437680276,,49,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_20328,-0.3213618815212428,,146,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_20329,-0.6529851475115583,,4,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_20330,-0.4007821915669008,,47,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_20383,0.3351101877434586,,110,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_20473,0.3206968293768767,,149,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2088,-0.3706097773166046,,66,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_21090,0.370425406803005,,67,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_21091,0.3154505793874749,,161,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_21178,-0.3471183402962146,,91,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_21203,-0.4702354090489833,,16,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_21834,0.4362323188894831,,29,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_21854,-0.3113740762628962,,171,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_22312,-0.3379408791121268,,105,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_22481,0.3766912106884235,,61,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_22596,-0.447278824387133,,21,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_22645,0.3407179028091377,,102,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_22651,-0.3140048794373039,,167,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23065,-0.3040198940616932,,197,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23066,-0.4133591639952,,40,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23131,0.3034034773091302,,199,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23187,0.3550555872775484,,80,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2361,0.3477446917872422,,90,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23675,0.3104976591275031,,177,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23853,0.4433372388135312,,23,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23870,0.3357823097464098,,109,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23876,0.30613828677317,,187,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_23911,0.3794339431366839,,59,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_24124,0.3139409931620003,,168,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_24136,-0.4139352541809761,,39,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_24445,0.3425302357455348,,98,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_25006,0.4637073324495676,,18,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_25235,-0.3103518529125493,,178,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_25356,0.3812798149879251,,58,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_25374,-0.3350001214962211,,111,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_25975,-0.4854443404978049,,13,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_26083,0.4828889854966882,,14,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2648,-0.351281689021895,,87,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_26895,0.3235022189174311,,141,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_27025,-0.4792774547183353,,15,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_27107,0.3069179002954428,,185,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2762,0.3823372311513436,,55,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_27908,-0.3870082436521473,,54,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_28034,-0.3512981834794619,,86,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2805,0.3349588974971469,,113,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_28062,-0.3623540722290203,,71,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_28627,0.3236927782469252,,140,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2863,-0.305540674162011,,190,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_2869,-0.3170065522411039,,158,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_29354,0.4936852216952954,,11,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_29544,-0.3137901978643134,,169,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_29546,-0.4636481681562244,,19,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_29547,-0.3044604556430155,,195,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_29550,-0.4449815631510139,,22,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_29551,-0.3228640528373715,,142,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_30055,0.4402607660157425,,27,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_30071,-0.3507561447909915,,88,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31023,-0.3059656896397193,,188,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31435,-0.5154433664776399,,9,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31678,-0.4014438230922932,,45,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31804,0.4198241531565703,,36,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31806,0.4533341745550502,,20,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31831,0.8144752746871141,,0,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_31885,0.3106025022836534,,176,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_32140,0.3182301271849085,,156,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_32696,-0.3815945139756034,,56,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_32708,0.3616294572117,,72,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_32875,0.3303223459953499,,120,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33018,-0.5667836331246031,,7,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33022,-0.3341586351866951,,114,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33244,-0.3426061094162249,,97,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33398,0.7891660215734128,,1,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33403,0.3176148711688242,,157,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33648,0.3612617797019997,,73,RidgeCV
