project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_193975,0.0143001576308526,,98,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_193976,0.0172920436886664,,39,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_193977,0.0172920436886664,,38,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_193978,0.0182457422051873,,28,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_193979,0.0176711217715664,,36,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_193980,0.0145890455770338,,86,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_194929,0.0138995933747954,,114,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_198783,0.022664902171195,,4,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_200632,0.0150962391982096,,75,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_201182,0.0219942903555378,,8,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_201183,0.0219942903555378,,7,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_201906,0.0150900543899593,,76,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_201912,0.0158536222648481,,63,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_203445,0.0140914754077836,,103,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_203461,0.0125241900598468,,182,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_20419,0.0193085941608912,,25,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_205369,-0.0130025831741856,,151,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_20796,-0.0159779243134921,,62,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_20797,-0.0145377924213072,,91,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_20798,-0.0145377924213072,,90,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_215568,0.0150090986451922,,79,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_216647,0.0201556563716063,,17,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_225372,0.0150819097749411,,77,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_22585,0.0200258069702941,,20,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_227260,-0.0240969228585198,,3,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_228210,0.0162931051584605,,55,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_228221,0.0136921236868235,,119,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_232429,0.0154033192071264,,68,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_238539,-0.0148682522231466,,81,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_241425,0.0130861845875298,,149,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_248706,0.0127035674307728,,170,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_2522,0.0130262221981417,,150,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_2532,0.0158490576116903,,64,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_2533,0.0142190384407333,,101,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_256354,-0.0139103633747739,,113,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_26229,-0.0125069772481883,,188,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_264149,0.0139721799822081,,110,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_264150,0.0139721799822081,,109,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_273239,-0.0139615619427363,,112,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_289866,0.012667746661456,,171,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_290422,-0.0140549969307196,,106,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_292094,0.014750271281089,,83,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_297604,0.017720261275086,,34,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_297605,0.0221987694309515,,6,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_299323,0.0140133336548652,,108,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_299324,0.012767606732977,,165,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_299325,0.0172376406675948,,40,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_299328,0.0169127045213008,,45,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_30355,0.0138831543335318,,115,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_3088,0.0125984500817024,,174,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_3090,0.0133245065529896,,139,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_309639,-0.012342595083366,,194,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_310062,0.0169962788398052,,44,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_310207,0.0122348045771285,,199,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_316682,0.0129785864449339,,152,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_31914,0.0218361973591408,,9,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_31915,0.0218361973591408,,10,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_31955,0.0129526073956413,,154,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_320967,0.0132152751788713,,145,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_321529,0.0131649807007079,,147,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_321532,0.0356895170759748,,0,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_329151,-0.0143755692788944,,96,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_332063,0.0132516922730398,,142,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_332064,0.0129570091635765,,153,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_335573,0.0135836254849247,,124,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_350805,0.0132679145703419,,141,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352125,-0.0128110650447044,,164,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352390,0.0144453731819987,,95,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352405,0.0125199462282068,,185,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352406,0.0125199462282068,,184,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352562,0.0125105242795716,,186,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352587,0.012570289326327,,176,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352588,0.0146105403137084,,85,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352605,0.0124128206659427,,190,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352621,0.0124004063562289,,192,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_352653,0.0135135634878787,,127,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_354951,0.012405403820163,,191,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_356230,0.0171186913927515,,42,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_361926,0.0135770231038633,,125,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_362206,0.0142197212627525,,100,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_362844,0.0126237197527368,,173,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_362853,0.0175853470878498,,37,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_36412,0.0148562644318337,,82,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_364689,-0.0131552666021022,,148,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_366604,-0.0151020491348993,,74,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_369495,-0.0163295292591601,,54,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_371816,-0.0180168747346773,,30,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_371824,-0.0145052823812186,,92,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_371827,-0.0140318799546697,,107,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_371828,-0.0125372902781347,,180,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_381688,-0.0125770992967187,,175,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_38193,-0.0206878383175271,,15,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_383072,-0.0134138978176079,,133,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_384174,0.0125525325180716,,179,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_384175,0.0125525325180716,,178,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_385745,0.0138628356703811,,116,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_388123,0.0133831111705626,,135,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_388124,0.0133831111705626,,136,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390110,0.013240524832926,,143,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390111,0.013240524832926,,144,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390112,0.0138030348452314,,117,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390113,0.0138030348452314,,118,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390946,-0.0202974836837947,,16,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390949,-0.0133102112132781,,140,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_390952,-0.0196179551210676,,24,RidgeCV
