,specimenID,libraryID,assay,platform,referenceSet,transposaseBatch,libraryBatch,libraryPreparationMethod,sampleBarcode,chromiumSampleIndex,pcrCycles,sequencingBatch,isStranded,readStrandOrigin,readLength,runType,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2
93,M1AT_201022_155_C01,L8AT_201028_01_B05,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-20122201,L8AT_201028_01,10x,,SI-NA-B5,,ATX-508,False,forward,50bp,pairedEnd,,,0.9479,0.939
94,M1AT_201022_157_D01,L8AT_201028_01_C05,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-20122201,L8AT_201028_01,10x,,SI-NA-C5,,ATX-508,False,forward,50bp,pairedEnd,,,0.9449,0.9424
95,M1AT_201014_153_C01,L4AT_201019_01_G04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-20122202,L4AT_201019_01,10x,,SI-NA-G4,,ATX-509,False,forward,50bp,pairedEnd,,,0.9434,0.9321
96,M2AT_220121_206_B01,L8AT_220126_01_B09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22020801,L8AT_220126_01,10x,,SI-NA-B9,,ATX-561,False,forward,50bp,pairedEnd,,,0.9498,0.9397
97,M2AT_220121_206_C01,L8AT_220126_01_C09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22020801,L8AT_220126_01,10x,,SI-NA-C9,,ATX-561,False,forward,50bp,pairedEnd,,,0.9516,0.9369
98,M2AT_220121_206_D01,L8AT_220126_01_D09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22020801,L8AT_220126_01,10x,,SI-NA-D9,,ATX-561,False,forward,50bp,pairedEnd,,,0.9465,0.9406
99,M2AT_210827_201_A01,L8AT_210830_01_G03,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21092101,L8AT_210830_01,10x,,SI-NA-G3,,ATX-530,False,forward,50bp,pairedEnd,,,0.9467,0.9415
100,M2AT_220207_216_A01,L8AT_220209_01_F05,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22021503,L8AT_220209_01,10x,,SI-NA-F5,,ATX-1504,False,forward,50bp,pairedEnd,,,0.9579,0.952
101,M2AT_220207_216_B01,L8AT_220209_01_A06,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22021503,L8AT_220209_01,10x,,SI-NA-A6,,ATX-1504,False,forward,50bp,pairedEnd,,,0.9591,0.9559
102,M2AT_220207_216_C01,L8AT_220209_01_B06,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22021503,L8AT_220209_01,10x,,SI-NA-B6,,ATX-1504,False,forward,50bp,pairedEnd,,,0.9592,0.9537
103,M2AT_220321_211_B01,L8AT_220323_01_A02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-A2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9213,0.9046
104,M2AT_220328_221_C01,L8AT_220330_01_F04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220330_01,10x,,SI-NA-F4,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9182,0.9018
