,specimenID,libraryID,assay,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,referenceSet,transposaseBatch,chromiumSampleIndex,pcrCycles,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2,specimen_suffix
158,1804_B06,L8XR_230810_01_B09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_230808_01,L8XR_230810_01,MTX-2143,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1304567471,1244296454,8246,5806.0,21753.5,GRCh38,R8XR-23090604,SI-TT-B9_i7,,,,0.954,0.9414,-L8XR_230810_01_B09-1297444601
159,1902_B08,L8XR_231012_01_G04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.03,A8XR_231010_01,L8XR_231012_01,MTX-2151,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1050984167,1012728343,7254,4609.0,19942.0,GRCh38,R8XR-23101703,SI-TT-G4_i7,,,,0.963,0.955,-L8XR_231012_01_G04-1306724730
160,1922_A05,L8XR_231026_05_D04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.33,A8XR_231023_01,L8XR_231026_05,MTX-2153,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1257804286,1200322630,6450,4695.5,18838.0,GRCh38,R8XR-23103107,SI-TT-D4_i7,,,,0.9674,0.9589,-L8XR_231026_05_D04-1311674002
161,1922_B05,L8XR_231026_05_A04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.68,A8XR_231023_01,L8XR_231026_05,MTX-2153,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1174215830,1121376118,6468,4044.5,13373.0,GRCh38,R8XR-23103107,SI-TT-A4_i7,,,,0.9673,0.9602,-L8XR_231026_05_A04-1311674010
162,1922_C05,L8XR_231026_05_E04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.53,A8XR_231023_01,L8XR_231026_05,MTX-2153,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1189359486,1137146605,8796,4391.0,15698.0,GRCh38,R8XR-23103107,SI-TT-E4_i7,,,,0.966,0.9602,-L8XR_231026_05_E04-1311674017
163,1928_A10,L8XR_231026_05_B04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_231024_02,L8XR_231026_05,MTX-2153,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1409481908,1343095310,6808,3937.5,12615.0,GRCh38,R8XR-23103107,SI-TT-B4_i7,,,,0.9664,0.955,-L8XR_231026_05_B04-1311674054
164,1928_B10,L8XR_231026_05_C04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_231024_02,L8XR_231026_05,MTX-2154,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1801771832,1759610371,8886,3861.5,11873.5,GRCh38,R8XR-23110703,SI-TT-C4_i7,,,,0.9518,0.9483,-L8XR_231026_05_C04-1312538012
165,1928_C10,L8XR_231026_05_E05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.6,A8XR_231024_02,L8XR_231026_05,MTX-2154,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1403696893,1371692604,8563,4505.0,16000.0,GRCh38,R8XR-23110703,SI-TT-E5_i7,,,,0.9521,0.948,-L8XR_231026_05_E05-1312538014
166,1936_A05,L8XR_231102_01_F06,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.67,A8XR_231031_01,L8XR_231102_01,MTX-2155,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1167664563,1113835227,20000,1387.0,2436.0,GRCh38,R8XR-23111406,SI-TT-F6_i7,,,,0.9482,0.9568,-L8XR_231102_01_F06-1313371088
167,1936_B05,L8XR_231102_01_G06,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_231031_01,L8XR_231102_01,MTX-2155,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1289093648,1235080624,8097,5383.0,20079.0,GRCh38,R8XR-23111406,SI-TT-G6_i7,,,,0.9538,0.9513,-L8XR_231102_01_G06-1313371090
168,1936_C05,L8XR_231102_01_E06,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.27,A8XR_231031_01,L8XR_231102_01,MTX-2155,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1357935906,1299680456,5662,3722.0,11982.0,GRCh38,R8XR-23111406,SI-TT-E6_i7,,,,0.9554,0.9512,-L8XR_231102_01_E06-1313371091
169,1954_A05,L8XR_231116_02_A08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.87,A8XR_231114_01,L8XR_231116_02,MTX-2159,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1441460166,1400810989,6319,4573.0,16801.0,GRCh38,R8XR-23112803,SI-TT-A8_i7,,,,0.9619,0.9554,-L8XR_231116_02_A08-1315525445
170,1954_B05,L8XR_231116_02_H07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.65,A8XR_231114_01,L8XR_231116_02,MTX-2159,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1339343916,1299967205,3290,4809.5,17091.0,GRCh38,R8XR-23112803,SI-TT-H7_i7,,,,0.9597,0.9586,-L8XR_231116_02_H07-1315525446
171,1954.1_D05,L8XR_231116_02_G07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.85,A8XR_231114_01,L8XR_231116_02,MTX-2159,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1577039875,1530201791,6125,4297.0,13478.0,GRCh38,R8XR-23112803,SI-TT-G7_i7,,,,0.9582,0.9575,-L8XR_231116_02_G07-1315525447
172,1957_A08,L8XR_231116_02_B08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.04,A8XR_231114_01,L8XR_231116_02,MTX-2159,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1090401360,1058779721,7893,4016.0,10455.0,GRCh38,R8XR-23112803,SI-TT-B8_i7,,,,0.9626,0.9564,-L8XR_231116_02_B08-1315525448
173,1957_B08,L8XR_231116_02_C08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_231114_01,L8XR_231116_02,MTX-2159,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1290825910,1252617463,7810,3976.5,12079.0,GRCh38,R8XR-23112803,SI-TT-C8_i7,,,,0.9598,0.9552,-L8XR_231116_02_C08-1315525449
174,1957_C08,L8XR_231116_02_D08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.48,A8XR_231114_01,L8XR_231116_02,MTX-2159,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1496705475,1453151346,7907,4035.0,11144.0,GRCh38,R8XR-23112803,SI-TT-D8_i7,,,,0.9605,0.9553,-L8XR_231116_02_D08-1315525450
175,1963_A06,L8XR_231130_21_B02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.18,A8XR_231117_01,L8XR_231130_21,MTX-2161,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1438229743,1383720836,4335,1607.0,2437.0,GRCh38,R8XR-23120504,SI-TT-B2_i7,,,,0.9512,0.9445,-L8XR_231130_21_B02-1319211410
176,1963_B06,L8XR_231130_21_C02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.27,A8XR_231117_01,L8XR_231130_21,MTX-2161,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,838891930,806007366,4278,575.5,735.5,GRCh38,R8XR-23120504,SI-TT-C2_i7,,,,0.9504,0.9441,-L8XR_231130_21_C02-1319211411
177,1963_C06,L8XR_231130_21_G02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.93,A8XR_231117_01,L8XR_231130_21,MTX-2161,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1132591213,1089552747,7035,1566.0,2391.0,GRCh38,R8XR-23120504,SI-TT-G2_i7,,,,0.9497,0.9403,-L8XR_231130_21_G02-1319211412
178,1967_A09,L8XR_231130_21_D02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.75,A8XR_231121_01,L8XR_231130_21,MTX-2163,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1044651056,1008297199,5828,976.0,1345.0,GRCh38,R8XR-23120506,SI-TT-D2_i7,,,,0.9638,0.9535,-L8XR_231130_21_D02-1319291103
179,1967_B09,L8XR_231130_21_E02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,6.73,A8XR_231121_01,L8XR_231130_21,MTX-2163,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,921662219,889035376,6719,899.0,1292.0,GRCh38,R8XR-23120506,SI-TT-E2_i7,,,,0.9616,0.9533,-L8XR_231130_21_E02-1319291104
180,1967_C09,L8XR_231130_21_F02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.03,A8XR_231121_01,L8XR_231130_21,MTX-2163,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,995243657,960708702,11543,1203.0,1792.0,GRCh38,R8XR-23120506,SI-TT-F2_i7,,,,0.9642,0.9471,-L8XR_231130_21_F02-1319291105
181,1971_A04,L8XR_231130_21_A05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_231128_01,L8XR_231130_21,MTX-2165,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1883671256,1846751299,4582,5440.5,21853.0,GRCh38,R8XR-23120508,SI-TT-A5_i7,,,,0.958,0.9523,-L8XR_231130_21_A05-1317753168
182,1971_B04,L8XR_231130_21_A03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.63,A8XR_231128_01,L8XR_231130_21,MTX-2165,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1478846205,1443501781,2192,2052.0,4102.0,GRCh38,R8XR-23120508,SI-TT-A3_i7,,,,0.9598,0.9549,-L8XR_231130_21_A03-1317753169
183,1971_C04,L8XR_231130_21_B03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.6,A8XR_231128_01,L8XR_231130_21,MTX-2165,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1441277104,1410433774,5224,3028.5,8099.5,GRCh38,R8XR-23120508,SI-TT-B3_i7,,,,0.9601,0.9559,-L8XR_231130_21_B03-1317753170
184,1997_A05,L8XR_231221_04_D04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.4,A8XR_231215_01,L8XR_231221_04,MTX-2171,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,989750168,962433063,5865,539.0,710.0,GRCh38,R8XR-24010302,SI-TT-D4_i7,,,,0.945,0.9472,-L8XR_231221_04_D04-1322484695
185,1997_B05,L8XR_231221_04_F04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.0,A8XR_231215_01,L8XR_231221_04,MTX-2171,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1362341244,1326375435,5832,2180.0,3985.5,GRCh38,R8XR-24010302,SI-TT-F4_i7,,,,0.9451,0.9402,-L8XR_231221_04_F04-1322484696
186,1997_C05,L8XR_231221_04_E04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.2,A8XR_231215_01,L8XR_231221_04,MTX-2171,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1313734031,1278394586,6084,1252.0,1922.5,GRCh38,R8XR-24010302,SI-TT-E4_i7,,,,0.9443,0.9473,-L8XR_231221_04_E04-1322484697
187,2001_A08,L8XR_231221_02_D02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.1,A8XR_231219_01,L8XR_231221_02,MTX-2171,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,964209004,940007358,6459,4492.0,13693.0,GRCh38,R8XR-24010302,SI-TT-D2_i7,,,,0.9433,0.939,-L8XR_231221_02_D02-1322484698
188,2001_B08,L8XR_231221_02_C02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.57,A8XR_231219_01,L8XR_231221_02,MTX-2171,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,876368147,854984764,5709,4101.0,12529.0,GRCh38,R8XR-24010302,SI-TT-C2_i7,,,,0.9451,0.9408,-L8XR_231221_02_C02-1322484699
189,2001_C08,L8XR_231221_02_G02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_231219_01,L8XR_231221_02,MTX-2171,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1074790686,1049640584,7725,5136.0,18234.0,GRCh38,R8XR-24010302,SI-TT-G2_i7,,,,0.9431,0.9393,-L8XR_231221_02_G02-1322484700
190,2070_A05,L8XR_240229_02_C09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.18,A8XR_240216_01,L8XR_240229_02,MTX-2174,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1428657229,1393940858,5857,3775.0,11224.0,GRCh38,R8XR-24030506,SI-TT-C9_i7,,,,0.956,0.9476,-L8XR_240229_02_C09-1337926207
191,2070_B05,L8XR_240229_04_E06,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.0,A8XR_240216_01,L8XR_240229_04,MTX-2174,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1537308111,1498721677,3318,3509.5,10672.5,GRCh38,R8XR-24030506,SI-TT-E6_i7,,,,0.9548,0.9495,-L8XR_240229_04_E06-1337926208
192,2070_C05,L8XR_240222_01_C10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.93,A8XR_240216_01,L8XR_240222_01,MTX-2174,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1791834803,1747934850,6095,4482.0,14139.0,GRCh38,R8XR-24030506,SI-TT-C10_i7,,,,0.9551,0.9474,-L8XR_240222_01_C10-1337926209
193,2075_C10,L8XR_240222_21_A01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.6,A8XR_240220_01,L8XR_240222_21,MTX-2173,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,967124053,936272796,6044,3698.0,11212.0,GRCh38,R8XR-24022706,SI-TT-A1_i7,,,,0.9524,0.946,-L8XR_240222_21_A01-1335379341
194,2075_B10,L8XR_240222_21_D01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.07,A8XR_240220_01,L8XR_240222_21,MTX-2174,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1244464780,1213228714,6633,4935.0,17616.0,GRCh38,R8XR-24030506,SI-TT-D1_i7,,,,0.9567,0.9524,-L8XR_240222_21_D01-1337926210
195,2075_A10,L8XR_240222_21_C01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.57,A8XR_240220_01,L8XR_240222_21,MTX-2173,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1116440115,1082946912,8489,3749.0,10852.0,GRCh38,R8XR-24022706,SI-TT-C1_i7,,,,0.9511,0.9439,-L8XR_240222_21_C01-1335379340
196,2094_A07,L8XR_240307_21_A11,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_240301_01,L8XR_240307_21,MTX-2175,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1119727797,1092966303,6794,3704.0,9897.5,GRCh38,R8XR-24031904,SI-TT-A11_i7,,,,0.9596,0.95,-L8XR_240307_21_A11-1342044284
197,2094_B07,L8XR_240307_21_D10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.65,A8XR_240301_01,L8XR_240307_21,MTX-2175,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1265860090,1234340174,6585,3589.0,8988.0,GRCh38,R8XR-24031904,SI-TT-D10_i7,,,,0.9561,0.9487,-L8XR_240307_21_D10-1342044285
198,2094_C07,L8XR_240307_21_D01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.2,A8XR_240301_01,L8XR_240307_21,MTX-2175,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1234857089,1205220519,5250,2681.5,6194.0,GRCh38,R8XR-24031904,SI-TT-D1_i7,,,,0.959,0.9505,-L8XR_240307_21_D01-1342044286
199,2100_A11,L8XR_240307_02_E02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,6.73,A8XR_240305_01,L8XR_240307_02,MTX-2175,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1883462424,1834680747,7065,3719.0,11293.0,GRCh38,R8XR-24031904,SI-TT-E2_i7,,,,0.9593,0.9487,-L8XR_240307_02_E02-1342044287
200,2100_B11,L8XR_240307_02_C03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.27,A8XR_240305_01,L8XR_240307_02,MTX-2175,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1622702101,1576779632,8475,2810.0,6792.0,GRCh38,R8XR-24031904,SI-TT-C3_i7,,,,0.9577,0.9514,-L8XR_240307_02_C03-1342044288
201,2121_A04,L8XR_240328_02_C05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.67,A8XR_240322_01,L8XR_240328_02,MTX-2176,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1590570979,1546830277,4707,3968.0,13805.0,GRCh38,R8XR-24040205,SI-TT-C5_i7,,,,0.9655,0.9558,-L8XR_240328_02_C05-954721186e43610ffa480d9815d34338a6650422
202,2121_B04,L8XR_240322_02_E01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_240315_01,L8XR_240322_02,MTX-2176,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1691998041,1645806494,7641,5481.0,21830.0,GRCh38,R8XR-24040205,SI-TT-E1_i7,,,,0.9631,0.9508,-L8XR_240322_02_E01-3b16e5743b481a1b9c149f7a40b55c75284198c8
203,2121_C04,L8XR_240328_02_E05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.98,A8XR_240322_01,L8XR_240328_02,MTX-2176,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1690379043,1641696127,17409,2170.0,4155.0,GRCh38,R8XR-24040205,SI-TT-E5_i7,,,,0.9629,0.9519,-L8XR_240328_02_E05-a63aefcbc26958e6317a6950b6e49f9a226bf1ce
204,2134_A05,L8XR_240328_02_F05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.07,A8XR_240322_01,L8XR_240328_02,MTX-2176,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1506921517,1462768717,8431,4914.0,16584.0,GRCh38,R8XR-24040205,SI-TT-F5_i7,,,,0.9605,0.9493,-L8XR_240328_02_F05-bfa1a1eaaeb6e2541ee8a7a75606016973053ef0
205,2134_B05,L8XR_240328_02_G05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.08,A8XR_240322_01,L8XR_240328_02,MTX-2177,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1151958301,1122583364,7877,4865.0,14227.0,GRCh38,R8XR-24041605,SI-TT-G5_i7,,,,0.9608,0.9512,-L8XR_240328_02_G05-7ad5fc6b3cafb71c1170661eb0ead591b10f0786
206,2134_C05,L8XR_240328_02_D05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.57,A8XR_240322_01,L8XR_240328_02,MTX-2177,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1288322230,1256758335,6855,3746.0,10156.0,GRCh38,R8XR-24041605,SI-TT-D5_i7,,,,0.9583,0.9509,-L8XR_240328_02_D05-18c51b80adc8f3c840cded044100fe313b134039
207,2150_A07,L8XR_240404_03_F10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_240329_01,L8XR_240404_03,MTX-2177,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1554569187,1517414983,5851,4880.0,15279.0,GRCh38,R8XR-24041605,SI-TT-F10_i7,,,,0.9597,0.9521,-L8XR_240404_03_F10-0506a719c4d6a4112d4be69803ee013122336964
208,2150_B07,L8XR_240404_03_C10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.55,A8XR_240329_01,L8XR_240404_03,MTX-2177,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1293609856,1262563219,5621,3489.0,9032.0,GRCh38,R8XR-24041605,SI-TT-C10_i7,,,,0.956,0.9515,-L8XR_240404_03_C10-ef7e3c15e7f38d6993b4ca57739fa5e38539dd47
209,2150_C07,L8XR_240404_03_D10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.68,A8XR_240329_01,L8XR_240404_03,MTX-2177,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1314804386,1282065757,8879,3634.0,9543.0,GRCh38,R8XR-24041605,SI-TT-D10_i7,,,,0.9575,0.9514,-L8XR_240404_03_D10-80bea1fe6209862bccac57f3b2e7ce30e4e6a120
210,2175_A09,L8XR_240411_02_C02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,6.73,A8XR_240409_01,L8XR_240411_02,MTX-2178,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1084569097,1054309619,7395,3541.0,10260.0,GRCh38,R8XR-24042303,SI-TT-C2_i7,,,,0.9497,0.9428,-L8XR_240411_02_C02-a291f3633c2c4b0d7648cf8c4b1abbe8fca2b935
211,2175_B09,L8XR_240411_02_D02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.6,A8XR_240409_01,L8XR_240411_02,MTX-2178,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1202904546,1169223219,6640,3494.5,9705.5,GRCh38,R8XR-24042303,SI-TT-D2_i7,,,,0.9519,0.9447,-L8XR_240411_02_D02-24c5d6789d02b5f1cef45a76f127f62cbf3beb63
212,2184_A06,L8XR_240418_02_D07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.1,A8XR_240412_01,L8XR_240418_02,MTX-2179,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,971632544,943163710,8227,3126.0,6645.0,GRCh38,R8XR-24043003,SI-TT-D7_i7,,,,0.9584,0.9512,-L8XR_240418_02_D07-2009172adc59e880804c63e9c6681c499db9b1c6
213,2184_B06,L8XR_240418_02_G07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.87,A8XR_240412_01,L8XR_240418_02,MTX-2179,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1502999343,1458660862,8568,4243.5,10857.5,GRCh38,R8XR-24043003,SI-TT-G7_i7,,,,0.9564,0.9468,-L8XR_240418_02_G07-8a5fe1d962ff9444d0a6f3fbb69ec18cdf03f32d
214,2184_C06,L8XR_240418_02_H07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_240412_01,L8XR_240418_02,MTX-2179,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1459544483,1417071739,9985,3638.0,8757.0,GRCh38,R8XR-24043003,SI-TT-H7_i7,,,,0.9566,0.9473,-L8XR_240418_02_H07-a21bad04f4810ff1f9f1374f1ac9c83705f1e16e
215,2196_A05,L8XR_240425_01_E01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.04,A8XR_240419_01,L8XR_240425_01,MTX-2180,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1712502259,1666264698,8227,4348.0,10641.0,GRCh38,R8XR-24043004,SI-TT-E1_i7,,,,0.9587,0.9463,-L8XR_240425_01_E01-0c5280aa8e540dd9c2732f5954423ba306969992
216,2196_B05,L8XR_240425_01_G02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.03,A8XR_240419_01,L8XR_240425_01,MTX-2180,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1841999745,1790792152,9728,4246.0,11245.0,GRCh38,R8XR-24043004,SI-TT-G2_i7,,,,0.9553,0.9445,-L8XR_240425_01_G02-4af1ba028eb9ec69dbc461c1aff721244e5baaec
217,2196_C05,L8XR_240425_01_F01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.03,A8XR_240419_01,L8XR_240425_01,MTX-2180,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1662367646,1619146087,8983,3561.0,9351.0,GRCh38,R8XR-24043004,SI-TT-F1_i7,,,,0.9566,0.9432,-L8XR_240425_01_F01-afc3064a945d2f22ccf60ae01656793b9de3712d
218,2211_A09,L8XR_240502_02_C08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_240430_02,L8XR_240502_02,MTX-2182,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,936751122,911927217,8429,4073.0,10225.0,GRCh38,R8XR-24051404,SI-TT-C8_i7,,,,0.9582,0.9515,-L8XR_240502_02_C08-8ddc01f2993ce307abc20a2275c48efe754a5a99
219,2211_B09,L8XR_240502_02_C06,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.4,A8XR_240430_02,L8XR_240502_02,MTX-2182,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1191446892,1161660720,6433,4002.0,11942.0,GRCh38,R8XR-24051404,SI-TT-C6_i7,,,,0.9604,0.9524,-L8XR_240502_02_C06-cde8b3eb38bc4f90b9869ea1a12368a74ca5544a
220,2211_C09,L8XR_240502_02_A07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.0,A8XR_240430_02,L8XR_240502_02,MTX-2182,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1374713440,1332097323,7906,4216.0,12731.5,GRCh38,R8XR-24051404,SI-TT-A7_i7,,,,0.9594,0.9506,-L8XR_240502_02_A07-f034e9a75d46f9fcabd211a127e98494f0b6c25b
221,2217_A04,L8XR_240509_01_D10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.65,A8XR_240503_01,L8XR_240509_01,MTX-2182,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1111365191,1082136286,6117,2932.0,6221.0,GRCh38,R8XR-24051404,SI-TT-D10_i7,,,,0.9598,0.9527,-L8XR_240509_01_D10-a4b36221af8396103afb55d305f49925b3fcf71d
222,2217_B04,L8XR_240509_01_C10,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.63,A8XR_240503_01,L8XR_240509_01,MTX-2182,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1464043468,1425539125,4718,2116.5,4079.5,GRCh38,R8XR-24051404,SI-TT-C10_i7,,,,0.9601,0.9525,-L8XR_240509_01_C10-e1f56f24f71bf8d1f1b0cc442f79d7c7ec1df8d3
223,2217_C04,L8XR_240509_01_B11,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.18,A8XR_240503_01,L8XR_240509_01,MTX-2183,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1532797128,1492944403,8336,4817.5,13857.0,GRCh38,R8XR-24051405,SI-TT-B11_i7,,,,0.9579,0.9531,-L8XR_240509_01_B11-b757657d7072a4c9a29feba695d9a87ab7f49503
224,2223_A08,L8XR_240509_21_B09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.75,A8XR_240507_01,L8XR_240509_21,MTX-2183,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1894172655,1846250087,6815,3365.0,8695.0,GRCh38,R8XR-24051405,SI-TT-B9_i7,,,,0.9611,0.9579,-L8XR_240509_21_B09-b05dbf24379f23bc753ef81ea33b40263937be13
225,2223_B08,L8XR_240509_21_D09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.27,A8XR_240507_01,L8XR_240509_21,MTX-2183,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1526709166,1487930753,7251,3608.0,9233.0,GRCh38,R8XR-24051405,SI-TT-D9_i7,,,,0.9619,0.9602,-L8XR_240509_21_D09-8351fe2fadf17c18614b802e9cf3805fdcff9d3c
