,specimenID,libraryID,assay,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,referenceSet,transposaseBatch,chromiumSampleIndex,pcrCycles,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2,specimen_suffix
106,1784.1_C02,L8XR_230727_22_H04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.1,A8XR_230725_02,L8XR_230727_22,MTX-2140,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1091572157,1059370778,6400,5105.5,16362.5,GRCh38,R8XR-23080103,SI-TT-H4_i7,,,,0.9582,0.9466,-L8XR_230727_22_H04-1290439528
107,1784_B02,L8XR_230727_22_D04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.27,A8XR_230725_02,L8XR_230727_22,MTX-2140,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1255458617,1216790492,8400,2995.5,8055.5,GRCh38,R8XR-23080103,SI-TT-D4_i7,,,,0.9584,0.9457,-L8XR_230727_22_D04-1290439527
108,1789_A05,L8XR_230727_22_E04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.4,A8XR_230725_02,L8XR_230727_22,MTX-2140,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1300532093,1263076769,7044,5035.0,21623.5,GRCh38,R8XR-23080103,SI-TT-E4_i7,,,,0.9548,0.9473,-L8XR_230727_22_E04-1290439533
109,1793_A03,L8XR_230803_01_A07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.75,A8XR_230801_01,L8XR_230803_01,MTX-2141,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1315963766,1275300486,7096,3492.0,10234.5,GRCh38,R8XR-23080801,SI-TT-A7_i7,,,,0.9533,0.9439,-L8XR_230803_01_A07-1291281468
110,1793_B03,L8XR_230803_01_C07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.85,A8XR_230801_01,L8XR_230803_01,MTX-2141,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1324550799,1281237988,9081,4972.0,17033.0,GRCh38,R8XR-23080801,SI-TT-C7_i7,,,,0.9547,0.9457,-L8XR_230803_01_C07-1291281469
111,1800_A04,L8XR_230810_01_C09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.08,A8XR_230808_01,L8XR_230810_01,MTX-2142,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1293873999,1249752896,9137,5771.0,22929.0,GRCh38,R8XR-23082204,SI-TT-C9_i7,,,,0.9597,0.9494,-L8XR_230810_01_C09-1295256516
112,1800_B04,L8XR_230810_01_H08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_230808_01,L8XR_230810_01,MTX-2142,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1527233279,1475307348,5586,6737.0,26102.5,GRCh38,R8XR-23082204,SI-TT-H8_i7,,,,0.9593,0.952,-L8XR_230810_01_H08-1295256517
113,1804_A06,L8XR_230810_01_G08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.67,A8XR_230808_01,L8XR_230810_01,MTX-2142,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1104500462,1067057896,2785,2075.0,4905.0,GRCh38,R8XR-23082204,SI-TT-G8_i7,,,,0.9593,0.9493,-L8XR_230810_01_G08-1295256523
114,1817_A08,L8XR_230817_01_B12,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_230815_01,L8XR_230817_01,MTX-2143,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1050951199,1005339917,7607,5372.0,19500.0,GRCh38,R8XR-23090604,SI-TT-B12_i7,,,,0.9549,0.9413,-L8XR_230817_01_B12-1297444602
115,1817_B08,L8XR_230817_01_C01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.27,A8XR_230815_01,L8XR_230817_01,MTX-2143,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1613098079,1543734862,6704,5078.0,20866.0,GRCh38,R8XR-23090604,SI-TT-C1_i7,,,,0.9541,0.9439,-L8XR_230817_01_C01-1297444603
